,day_svi_id,year,month,day_svi_lat,day_svi_lon,day_svi_heading,night_svi_lat,night_svi_lon,lux,distance_err,total_area,total_luminosity,avg_luminosity,avg_distance,mid_distance,weighted_lum_std,weighted_dist_std,max_contour_size
2133,2c793SiP8pWUgw6GIYlCcg,2011,9,1.324168056,103.6489635,2.337715082,1.3241995,103.6489725,2,3.27E-05,21737,2550266.814,117.3237712,194.3779152,187.0026738,507.1844944,37.67661125,13428
2134,2cO90gL53q4fxIZy7KXNGg,2022,2,1.296925605,103.7821844,0.212054868,1.2969338,103.7822024,11,1.98E-05,36385,4837351.563,132.9490604,177.0995512,171.1432149,437.4295953,24.71259001,23833
2135,2jwjIB80VRbGrFwcJojeVA,2021,7,1.307714618,103.7696361,4.315655742,1.3077347,103.7696329,22,2.03E-05,30733,3535902.071,115.0522914,192.0456511,174.1407477,414.463612,41.39031963,11938
2136,2kq9veOzZmrenkHkzD6nGA,2021,8,1.28105984,103.7846372,5.301190994,1.2810965,103.7846666,17,4.70E-05,26535,3377731.276,127.2934342,189.3246342,169.2483382,495.4377346,38.66048342,10988.5
2137,2k5c_93dSsVQflFjeKccGw,2013,1,1.323304871,103.7945983,2.249249664,1.3233133,103.7945966,4,8.59E-06,24987,3284818.501,131.4610998,213.5080808,218.8743932,527.8623044,36.92759927,13543.5
2138,2mZgYLOsDoq0EXfeq85bMg,2019,7,1.302294555,103.8614848,0.992638568,1.3023085,103.8614755,8,1.68E-05,69469,8079345.478,116.3014507,187.7517169,183.9266158,266.9999301,27.82035789,138894
2139,2oKkV-JQUQwY_pfj3cwkRQ,2019,7,1.276913878,103.8443487,4.877213618,1.2769106,103.8443042,22,4.46E-05,38537,4557183.517,118.2547556,182.8262843,174.5680383,378.9628247,29.1008527,7761.5
2140,2nO0MTM7t8X3NmZYKYA4qQ,2018,11,1.276928784,103.8443512,1.776676256,1.2769428,103.8443301,7,2.53E-05,35275,4407321.206,124.9417776,183.3807959,171.8982257,418.9461212,31.52255255,11882
2141,2okSKtmXwkYDd_rwdeMrUQ,2018,3,1.294124006,103.8525053,3.751952157,1.2941174,103.8524854,8,2.09E-05,40318,4550337.946,112.8612021,185.9270656,180.346888,351.4615484,28.0867169,31905.5
2142,2p3xqjeyxfrROkv9KKakPg,2015,9,1.333573399,103.6437873,2.33637205,1.3336032,103.6438036,1,3.40E-05,30201,3375220.703,111.7585743,181.7703944,177.8004499,406.3578673,24.38707287,11783.5
2143,2ql-KYZvuFn9UI5aOnMJWQ,2015,9,1.327156994,103.647407,3.890224813,1.3271634,103.6474005,39,9.14E-06,12064,1173361.908,97.26143137,180.8164582,171.4059509,570.0360641,28.40204076,5302
2144,2qqXe3qzNFdZvLlyOEPYdw,2016,9,1.298831036,103.7762081,5.008808397,1.2988458,103.7761871,3,2.56E-05,14980,1564246.115,104.4223041,168.0058042,163.7833935,547.469137,18.2385454,5489.5
2145,2uh-xSOvWhpf44gV0PK3zg,2020,9,1.285759429,103.8488362,0.264460884,1.2857582,103.8488371,9,1.50E-06,32075,3771452.738,117.5823145,204.4890147,203.3937069,414.2605463,42.71285622,11841.5
2146,2uiaYugpWtCuRgdTwBX_YA,2013,1,1.321638215,103.805688,1.568225577,1.3216529,103.8057002,3,1.91E-05,10977,1240407.255,113.0005698,210.1131099,213.3213538,694.1730897,26.59892337,7583.5
2147,2wi4yq_hB2fB3kWX_KwfAQ,2020,7,1.343799824,103.695325,0.864927211,1.3438119,103.6953229,48,1.23E-05,43257,5155599.167,119.1853149,200.1726965,189.5943037,357.7780859,40.61103893,33095
2148,2wefAZzIGcWv8rqxn7ZDvQ,2018,3,1.33193116,103.6502683,2.332236427,1.3319126,103.650267,0,1.86E-05,6879,680911.256,98.98404652,181.5529257,180.4688339,771.5023749,25.18305831,4412
2149,2yNEzqObAutPSW2AFvzQBA,2015,9,1.327363858,103.6475983,3.873967812,1.3273605,103.6475835,19,1.51E-05,17647,2060829.962,116.7807538,195.5836776,182.1482912,562.3059538,39.63923375,10677.5
2150,2yyZm_2OCtwXc1gFmMBYEw,2011,9,1.333064755,103.6490795,2.324618721,1.3330812,103.6490646,17,2.22E-05,16557,1650274.505,99.67231413,177.7493595,173.6490714,497.0917095,21.91591483,8679
2151,2zd0qA-jRbdPVTWQN01t8Q,2019,10,1.334659747,103.6473889,2.323597931,1.3346548,103.647362,13,2.74E-05,28662,2845889.93,99.29139383,180.5383045,176.7766953,371.9330698,23.5606368,12016.5
2152,34NakbPs5GUmx-ljIOFlHQ,2021,9,1.286753219,103.8478983,3.662644915,1.2867511,103.8479149,30,1.68E-05,76951,9276202.921,120.5468795,205.9772548,207.9663434,261.1622168,34.33315578,25341.5
2153,35HyGKMWjQAlh0Q65AhSIw,2019,7,1.303683996,103.8599433,4.105112618,1.3036737,103.8599324,31,1.50E-05,70090,9435978.361,134.6265995,193.88798,189.6233108,306.7721059,30.03019027,54088
